train 5232
val 729
test 1486
test_data:  1486
Iter: 284, mse: 0.0134, rmse: 0.1156, mae: 0.1034
Iter: 285, mse: 0.0155, rmse: 0.1243, mae: 0.1115
Iter: 286, mse: 0.0179, rmse: 0.1338, mae: 0.1201
Iter: 287, mse: 0.0210, rmse: 0.1449, mae: 0.1302
Iter: 288, mse: 0.0189, rmse: 0.1376, mae: 0.1250
Iter: 289, mse: 0.0213, rmse: 0.1459, mae: 0.1318
Iter: 290, mse: 0.0254, rmse: 0.1595, mae: 0.1413
Iter: 291, mse: 0.0307, rmse: 0.1753, mae: 0.1550
Iter: 292, mse: 0.0390, rmse: 0.1974, mae: 0.1736
Iter: 293, mse: 0.0419, rmse: 0.2046, mae: 0.1771
Iter: 294, mse: 0.0453, rmse: 0.2128, mae: 0.1776
Iter: 295, mse: 0.0515, rmse: 0.2269, mae: 0.1829
Iter: 296, mse: 0.0583, rmse: 0.2414, mae: 0.1934
Iter: 297, mse: 0.0622, rmse: 0.2494, mae: 0.1981
Iter: 298, mse: 0.0679, rmse: 0.2607, mae: 0.2046
Iter: 299, mse: 0.0747, rmse: 0.2732, mae: 0.2185
Iter: 300, mse: 0.0712, rmse: 0.2668, mae: 0.2275
Iter: 301, mse: 0.0807, rmse: 0.2841, mae: 0.2319
Iter: 302, mse: 0.0859, rmse: 0.2931, mae: 0.2424
Iter: 303, mse: 0.0916, rmse: 0.3027, mae: 0.2519
Iter: 304, mse: 0.0994, rmse: 0.3153, mae: 0.2681
Iter: 305, mse: 0.1078, rmse: 0.3284, mae: 0.2869
Iter: 306, mse: 0.1188, rmse: 0.3446, mae: 0.3132
Iter: 307, mse: 0.1097, rmse: 0.3312, mae: 0.2937
Iter: 308, mse: 0.1219, rmse: 0.3491, mae: 0.3235
Iter: 309, mse: 0.1134, rmse: 0.3368, mae: 0.3051
Iter: 310, mse: 0.1248, rmse: 0.3533, mae: 0.3300
Iter: 311, mse: 0.1144, rmse: 0.3383, mae: 0.3083
Iter: 312, mse: 0.1219, rmse: 0.3491, mae: 0.3251
Iter: 313, mse: 0.1265, rmse: 0.3557, mae: 0.3369
Iter: 314, mse: 0.1256, rmse: 0.3544, mae: 0.3362
